Date,Home,HG,HxG,Away,AG,AxG,xGD
4/25/2016,New York,3,3.67914167,Orlando City,1,1.2223783855,2.4567632845
4/28/2016,Vancouver,1,0.6198454574,Kansas City,1,0.8125282228,-0.1926827653
4/28/2016,New York City FC,1,1.1382706468,Montreal,1,0.3094841754,0.8287864713
4/28/2016,New England,0,1.1344640123,Portland,1,0.6379381583,0.496525854
4/30/2016,New York,4,1.8445122213,FC Dallas,0,1.3947284091,0.4497838122
4/30/2016,New York City FC,3,1.420591797,Vancouver,2,3.2492702196,-1.8286784226
4/30/2016,Seattle,1,2.4288800415,Columbus,0,1.2244253206,1.204454721
5/15/2016,Houston,1,2.2288245196,Salt Lake,0,0.7269114916,1.501913028
5/1/2016,Portland,2,1.2879844742,Toronto,1,1.1351342468,0.1528502274
5/15/2016,Columbus,1,1.483645589,Colorado,1,0.9982122487,0.4854333403
5/2/2016,Kansas City,1,1.416783103,L.A. Galaxy,1,0.9505098905,0.4662732125
5/15/2016,New England,2,1.5548483641,Chicago,0,0.1208514028,1.4339969613
5/7/2016,Orlando City,1,2.0576208087,New York,1,0.7642071354,1.2934136733
5/15/2016,FC Dallas,2,1.5734532738,Seattle,0,0.7820360892,0.7914171846
5/7/2016,Vancouver,2,1.9138895817,Portland,1,1.5256853773,0.3882042044
5/15/2016,Kansas City,2,3.1884320283,Orlando City,0,0.3999758711,2.7884561571
5/8/2016,Houston,2,1.0076179118,Kansas City,0,0.9629966374,0.0446212744
5/16/2016,Portland,1,2.4791511597,New York City FC,2,0.8424813605,1.6366697992
5/8/2016,Columbus,4,2.7761363903,Montreal,4,2.7141303309,0.0620060594
5/19/2016,Toronto,1,1.6244384241,New York City FC,1,1.0145185245,0.6099198997
5/8/2016,Colorado,1,1.343424871,Salt Lake,0,1.0315192722,0.3119055988
5/19/2016,New York,1,0.4249765476,Chicago,0,0.8697357724,-0.4447592248
5/8/2016,Seattle,2,1.3036653354,San Jose,0,1.6722585663,-0.3685932309
5/21/2016,Philadelphia,1,1.0826838916,DC United,0,1.3142602325,-0.2315763409
5/8/2016,L.A. Galaxy,4,2.7037740078,New England,2,1.8519156373,0.8518583705
5/21/2016,New York City FC,0,0.8618397782,New York,7,2.8680344894,-2.0061947112
5/9/2016,DC United,0,0.9376278897,New York City FC,2,1.4148862013,-0.4772583116
5/21/2016,Chicago,1,1.8675578209,Houston,0,0.7568323207,1.1107255001
4/30/2016,Chicago,1,0.834256646,DC United,1,0.577112752,0.257143894
5/12/2016,Vancouver,2,2.1717090453,Chicago,1,1.7333947045,0.4383143408
5/21/2016,Toronto,0,0.6968876659,Columbus,0,0.879341766,-0.1824541001
4/30/2016,Philadelphia,1,1.0913655518,San Jose,1,0.6915660968,0.399799455
5/12/2016,Philadelphia,2,4.0405729614,L.A. Galaxy,2,0.2013833403,3.8391896211
5/22/2016,Portland,4,3.3073927735,Vancouver,2,1.9183516807,1.3890410928
4/30/2016,Montreal,2,0.9393729909,Colorado,2,1.2945694418,-0.3551964509
5/12/2016,FC Dallas,2,1.4653915656,Portland,1,0.7436827995,0.7217087661
5/23/2016,L.A. Galaxy,0,0.8514439519,San Jose,1,1.0640086453,-0.2125646933
5/1/2016,New England,2,1.965576901,Orlando City,2,1.3334786832,0.6320982179
5/12/2016,Colorado,1,1.146156229,Kansas City,0,0.448386145,0.6977700839
5/26/2016,Orlando City,2,2.2276735164,Philadelphia,2,1.5809774403,0.6466960762
5/1/2016,Salt Lake,2,1.8490416391,Houston,1,1.1114703891,0.73757125
5/12/2016,San Jose,3,1.3982319964,Houston,1,0.5915009388,0.8067310576
5/28/2016,Kansas City,0,1.172620616,DC United,1,0.3703926086,0.8022280074
