"","Team","Prev_SOS","Remaining_SOS"
"1","Chicago",0.302108653067531,0.307408896796658
"2","Colorado",0.218458765130437,0.226013834432838
"3","Columbus",0.288278074926206,0.360330881874263
"4","DC United",0.289586874530812,0.39148835749976
"5","FC Dallas",0.234698457183275,0.196045007674362
"6","Houston",0.219945933487,0.226284064355085
"7","Kansas City",0.229113592376081,0.172918205177466
"8","L.A. Galaxy",0.214586339085414,0.285371613509296
"9","Montreal",0.329217487361626,0.248820472226094
"10","New England",0.299618512387343,0.359708542971876
"11","New York",0.30709933698511,0.288917813789595
"12","New York City FC",0.310319640403016,0.257794288020273
"13","Orlando City",0.328245825326917,0.317650268214277
"14","Philadelphia",0.285556400968519,0.29717004783607
"15","Portland",0.194542722818246,0.263002457533153
"16","Salt Lake",0.310456122175117,0.193945815390283
"17","San Jose",0.285706625013811,0.164831766207144
"18","Seattle",0.219040715461012,0.204972216265418
"19","Toronto",0.314894298847798,0.37063841128865
"20","Vancouver",0.240975786659715,0.333220810561618
