hteam,ateam,hfinal,afinal
Philadelphia,Salt Lake,1,2
Toronto,Columbus,3,0
Orlando City,New England,3,1
Houston,San Jose,1,1
Toronto,Salt Lake,1,0
San Jose,New York City FC,0,0
DC United,Philadelphia,2,2
Toronto,New England,4,1
Montreal,Houston,1,0
Colorado,Vancouver,2,0
Salt Lake,Chicago,3,1
Portland,Kansas City,3,0
Orlando City,Seattle,1,3
L.A. Galaxy,New York,2,2
Vancouver,San Jose,1,2
New York,Montreal,3,1
New England,Philadelphia,0,4
DC United,Portland,2,0
Columbus,New York City FC,3,3
FC Dallas,Kansas City,2,2
L.A. Galaxy,Colorado,1,1
Chicago,Orlando City,2,2
Seattle,Salt Lake,2,1
Houston,Toronto,1,1
